class PXR_NS::TfError; blockedByNoCandidate;
class PXR_NS::UsdSkelAnimation; blockedByNoCandidate;
class PXR_NS::UsdSkelBindingAPI; blockedByNoCandidate;

class PXR_NS::UsdUINodeGraphNodeAPI; blockedByNoCandidate;

class PXR_NS::UsdPhysicsCollisionAPI; blockedByNoCandidate;
class PXR_NS::UsdPhysicsLimitAPI; blockedByNoCandidate;

class PXR_NS::HioImage; blockedByImport;
class PXR_NS::HioImage::StorageSpec; blockedByImport;

class PXR_NS::GlfSimpleLight; blockedByNoCandidate;

class PXR_NS::HgiBuffer; blockedByImport;
class PXR_NS::HgiCmds; blockedByImport;
class PXR_NS::Hgi; blockedByImport;
class PXR_NS::HgiTexture; blockedByImport;

class PXR_NS::HgiMetalBuffer; blockedByImport;
class PXR_NS::HgiMetal; blockedByImport;
class PXR_NS::HgiMetalIndirectCommandEncoder; blockedByImport;
class PXR_NS::HgiMetalTexture; blockedByImport;

class PXR_NS::UsdImagingGLEngine; blockedByImport;


