class PXR_NS::TfError; unavailable;
class PXR_NS::SdfLayer; availableImportedAsReference;
class PXR_NS::SdfLayerOffset; availableFoundBySwift;
class PXR_NS::SdfPath; availableFoundBySwift;
class PXR_NS::SdfSpec; availableFoundBySwift;
class PXR_NS::SdfPrimSpec; [availableDifferentArgumentTypes,, class PXR_NS::SdfSpec,, class PXR_NS::SdfSpec];
class PXR_NS::SdfReference; availableFoundBySwift;
class PXR_NS::SdfValueTypeName; unavailable;

class PXR_NS::UsdAPISchemaBase; unavailable;
class PXR_NS::UsdAttribute; [availableDifferentArgumentTypes,, class PXR_NS::UsdObject,, class PXR_NS::UsdObject];
class PXR_NS::UsdEditContext; noAnalysisBecauseBlockedByImport;
class PXR_NS::UsdEditTarget; unavailable;
class PXR_NS::UsdInherits; unavailable;
class PXR_NS::UsdNotice; unavailable;
class PXR_NS::UsdObject; availableFriendFunction;
class PXR_NS::UsdPayloads; unavailable;
class PXR_NS::UsdPrim; [availableDifferentArgumentTypes,, class PXR_NS::UsdObject,, class PXR_NS::UsdObject];
class PXR_NS::UsdPrimRange; unavailable;
class PXR_NS::UsdProperty; [availableDifferentArgumentTypes,, class PXR_NS::UsdObject,, class PXR_NS::UsdObject];
class PXR_NS::UsdReferences; unavailable;
class PXR_NS::UsdRelationship; [availableDifferentArgumentTypes,, class PXR_NS::UsdObject,, class PXR_NS::UsdObject];
class PXR_NS::UsdSchemaBase; unavailable;
class PXR_NS::UsdSpecializes; unavailable;
class PXR_NS::UsdStage; availableImportedAsReference;
class PXR_NS::UsdTimeCode; availableFriendFunction;

class PXR_NS::UsdGeomBBoxCache; unavailable;
class PXR_NS::UsdGeomBasisCurves; unavailable;
class PXR_NS::UsdGeomBoundable; unavailable;
class PXR_NS::UsdGeomCamera; unavailable;

class PXR_NS::UsdVolVolume; unavailable;

class PXR_NS::UsdMediaSpatialAudio; unavailable;

class PXR_NS::UsdShadeConnectableAPI; unavailable;
class PXR_NS::UsdShadeInput; unavailable;
class PXR_NS::UsdShadeOutput; unavailable;
class PXR_NS::UsdShadeMaterial; unavailable;

class PXR_NS::UsdLuxBoundableLightBase; unavailable;
class PXR_NS::UsdLuxCylinderLight; unavailable;

class PXR_NS::UsdProcGenerativeProcedural; unavailable;

class PXR_NS::UsdRenderSettings; unavailable;

class PXR_NS::UsdHydraGenerativeProceduralAPI; unavailable;

class PXR_NS::UsdSkelAnimation; unavailable;
class PXR_NS::UsdSkelBindingAPI; unavailable;

class PXR_NS::UsdUINodeGraphNodeAPI; unavailable;

class PXR_NS::UsdPhysicsCollisionAPI; unavailable;
class PXR_NS::UsdPhysicsLimitAPI; unavailable;

class PXR_NS::HioImage; noAnalysisBecauseBlockedByImport;
class PXR_NS::HioImage::StorageSpec; noAnalysisBecauseBlockedByImport;

class PXR_NS::GlfSimpleLight; unavailable;

class PXR_NS::HgiBuffer; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiCmds; noAnalysisBecauseBlockedByImport;
class PXR_NS::Hgi; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiTexture; noAnalysisBecauseBlockedByImport;

class PXR_NS::HgiMetalBuffer; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiMetal; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiMetalIndirectCommandEncoder; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiMetalTexture; noAnalysisBecauseBlockedByImport;

class PXR_NS::UsdImagingGLEngine; noAnalysisBecauseBlockedByImport;
