class PXR_NS::TfError; blockedByNoCandidate;
class PXR_NS::UsdGeomBoundable; blockedByNoCandidate;
class PXR_NS::UsdGeomCamera; blockedByNoCandidate;
class PXR_NS::UsdGeomXformOp; availableUsdGeomXformOp;

class PXR_NS::UsdVolVolume; blockedByNoCandidate;

class PXR_NS::UsdMediaSpatialAudio; blockedByNoCandidate;

class PXR_NS::UsdShadeConnectableAPI; blockedByNoCandidate;
class PXR_NS::UsdShadeInput; blockedByNoCandidate;
class PXR_NS::UsdShadeOutput; blockedByNoCandidate;
class PXR_NS::UsdShadeMaterial; blockedByNoCandidate;

class PXR_NS::UsdLuxBoundableLightBase; blockedByNoCandidate;
class PXR_NS::UsdLuxCylinderLight; blockedByNoCandidate;

class PXR_NS::UsdProcGenerativeProcedural; blockedByNoCandidate;

class PXR_NS::UsdRenderSettings; blockedByNoCandidate;

class PXR_NS::UsdHydraGenerativeProceduralAPI; blockedByNoCandidate;

class PXR_NS::UsdSkelAnimation; blockedByNoCandidate;
class PXR_NS::UsdSkelBindingAPI; blockedByNoCandidate;

class PXR_NS::UsdUINodeGraphNodeAPI; blockedByNoCandidate;

class PXR_NS::UsdPhysicsCollisionAPI; blockedByNoCandidate;
class PXR_NS::UsdPhysicsLimitAPI; blockedByNoCandidate;

class PXR_NS::HioImage; noAnalysisBecauseBlockedByImport;
class PXR_NS::HioImage::StorageSpec; noAnalysisBecauseBlockedByImport;

class PXR_NS::GlfSimpleLight; available;

class PXR_NS::HgiBuffer; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiCmds; noAnalysisBecauseBlockedByImport;
class PXR_NS::Hgi; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiTexture; noAnalysisBecauseBlockedByImport;

class PXR_NS::HgiMetalBuffer; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiMetal; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiMetalIndirectCommandEncoder; noAnalysisBecauseBlockedByImport;
class PXR_NS::HgiMetalTexture; noAnalysisBecauseBlockedByImport;

class PXR_NS::UsdImagingGLEngine; noAnalysisBecauseBlockedByImport;
